MonoNS,EstNS,MonoS,EstS,t_unix,AccX,AccY,AccZ,AsX,AsY,AsZ,HX,HY,HZ,AngX,AngY,AngZ,TemperatureC
799918085866,799916085866,799.918085866,799.916085866,1768551559.7667289,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.212,-50.83,-58.825,4.697,3.778,69.616,
799928932343,799926932343,799.928932343,799.926932343,1768551559.7776659,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.199,-50.843,-58.968,4.697,3.778,69.614,
799939282378,799937282378,799.939282378,799.937282378,1768551559.7880282,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.817,-59.02,4.697,3.778,69.612,
799949508447,799947508447,799.949508447,799.947508447,1768551559.798195,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.83,-59.046,4.697,3.778,69.61,
799959653138,799957653138,799.959653138,799.957653138,1768551559.8084066,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.791,-59.046,4.698,3.778,69.608,
799969866082,799967866082,799.969866082,799.967866082,1768551559.8186388,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.108,-50.804,-59.059,4.698,3.777,69.606,
799980065609,799978065609,799.980065609,799.978065609,1768551559.8288426,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.804,-59.059,4.698,3.777,69.604,
799990305679,799988305679,799.990305679,799.988305679,1768551559.8390603,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.108,-50.83,-59.072,4.698,3.777,69.602,
800006496640,800004496640,800.00649664,800.00449664,1768551559.8494024,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.843,-59.072,4.698,3.777,69.6,
800017150899,800015150899,800.017150899,800.015150899,1768551559.8595405,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.108,-50.856,-59.176,4.698,3.777,69.599,
800021601087,800019601087,800.021601087,800.019601087,1768551559.870136,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.095,-50.817,-59.202,4.698,3.777,69.597,
800033269523,800031269523,800.033269523,800.031269523,1768551559.8820329,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.095,-50.817,-59.189,4.698,3.777,69.594,
800043516011,800041516011,800.043516011,800.041516011,1768551559.8922734,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.082,-50.817,-59.124,4.698,3.777,69.592,
800053695995,800051695995,800.053695995,800.051695995,1768551559.902469,-0.066,0.082,0.995,0.0,0.0,0.0,-30.095,-50.817,-59.111,4.698,3.777,69.591,
800063915647,800061915647,800.063915647,800.061915647,1768551559.9126832,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.082,-50.83,-59.098,4.698,3.777,69.588,
800074127133,800072127133,800.074127133,800.072127133,1768551559.922909,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.095,-50.817,-59.085,4.698,3.777,69.587,
800084370120,800082370120,800.08437012,800.08237012,1768551559.9331205,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.804,-59.085,4.698,3.777,69.585,
800094705863,800092705863,800.094705863,800.092705863,1768551559.943463,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.108,-50.817,-59.072,4.698,3.777,69.583,
800104889930,800102889930,800.10488993,800.10288993,1768551559.9536686,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.791,-59.098,4.698,3.777,69.581,
800115139043,800113139043,800.115139043,800.113139043,1768551559.9638982,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.791,-59.046,4.698,3.777,69.579,
800125321069,800123321069,800.125321069,800.123321069,1768551559.9740973,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.804,-59.033,4.698,3.777,69.578,
800135705230,800133705230,800.13570523,800.13370523,1768551559.9844828,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.804,-59.059,4.698,3.777,69.576,
800145939467,800143939467,800.145939467,800.143939467,1768551559.9947064,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.817,-59.059,4.698,3.777,69.574,
800156046822,800154046822,800.156046822,800.154046822,1768551560.0048206,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.817,-59.059,4.698,3.777,69.572,
800166521405,800164521405,800.166521405,800.164521405,1768551560.015306,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.83,-59.072,4.698,3.777,69.57,
800176754183,800174754183,800.176754183,800.174754183,1768551560.0255299,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.817,-59.072,4.697,3.777,69.568,
800186912874,800184912874,800.186912874,800.184912874,1768551560.0357425,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.108,-50.817,-59.072,4.697,3.777,69.566,
800197241908,800195241908,800.197241908,800.195241908,1768551560.0460236,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.108,-50.804,-59.072,4.697,3.777,69.564,
800207417517,800205417517,800.207417517,800.205417517,1768551560.0561702,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.804,-59.072,4.697,3.777,69.563,
800217737508,800215737508,800.217737508,800.215737508,1768551560.0665183,-0.066,0.082,0.995,0.0,0.0,0.0,-30.134,-50.804,-59.059,4.697,3.777,69.561,
800227988662,800225988662,800.227988662,800.225988662,1768551560.0767748,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.134,-50.817,-59.046,4.697,3.777,69.559,
800238249151,800236249151,800.238249151,800.236249151,1768551560.0870254,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.134,-50.804,-59.059,4.697,3.777,69.557,
800248249167,800246249167,800.248249167,800.246249167,1768551560.0970337,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.804,-59.059,4.697,3.777,69.555,
800258632162,800256632162,800.258632162,800.256632162,1768551560.1074147,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.121,-50.791,-59.059,4.697,3.777,69.553,
800268903442,800266903442,800.268903442,800.266903442,1768551560.1176617,-0.066,0.082,0.995,0.0,0.0,0.0,-30.134,-50.804,-59.072,4.697,3.777,69.551,
800279021589,800277021589,800.279021589,800.277021589,1768551560.127805,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.791,-58.981,4.697,3.777,69.549,
800290195333,800288195333,800.290195333,800.288195333,1768551560.1388364,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.83,-58.942,4.697,3.777,69.547,
800299945087,800297945087,800.299945087,800.297945087,1768551560.1486883,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.817,-59.059,4.697,3.777,69.545,
800310197700,800308197700,800.3101977,800.3081977,1768551560.158923,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.121,-50.856,-59.059,4.697,3.777,69.543,
800320350265,800318350265,800.320350265,800.318350265,1768551560.1691313,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.817,-58.968,4.697,3.777,69.541,
800330776721,800328776721,800.330776721,800.328776721,1768551560.1795318,-0.066,0.082,0.995,0.0,0.0,0.0,-30.16,-50.817,-58.955,4.697,3.777,69.54,
800340904202,800338904202,800.340904202,800.338904202,1768551560.1896894,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.173,-50.83,-58.981,4.697,3.777,69.537,
800351130563,800349130563,800.351130563,800.349130563,1768551560.1999106,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.16,-50.83,-58.981,4.697,3.777,69.536,
800361426928,800359426928,800.361426928,800.359426928,1768551560.2101758,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.173,-50.817,-58.968,4.697,3.777,69.534,
800371818673,800369818673,800.371818673,800.369818673,1768551560.2205775,-0.066,0.082,0.995,0.0,0.0,0.0,-30.147,-50.83,-58.981,4.697,3.777,69.532,
800382013242,800380013242,800.382013242,800.380013242,1768551560.2307904,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.804,-58.981,4.697,3.777,69.53,
800392223561,800390223561,800.392223561,800.390223561,1768551560.2410004,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.134,-50.817,-59.046,4.697,3.777,69.528,
800402435046,800400435046,800.402435046,800.400435046,1768551560.251211,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.791,-59.059,4.697,3.777,69.526,
800412652949,800410652949,800.412652949,800.410652949,1768551560.2614355,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.16,-50.817,-59.059,4.697,3.777,69.524,
800423037402,800421037402,800.423037402,800.421037402,1768551560.2718184,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.16,-50.804,-59.033,4.697,3.777,69.522,
800433288848,800431288848,800.433288848,800.431288848,1768551560.282051,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.134,-50.83,-59.02,4.697,3.777,69.52,
800443479624,800441479624,800.443479624,800.441479624,1768551560.2922568,-0.066,0.082,0.995,0.0,0.0,-0.183,-30.147,-50.83,-59.007,4.697,3.777,69.519,
800453694318,800451694318,800.453694318,800.451694318,1768551560.3024716,-0.066,0.082,0.995,0.0,0.0,0.0,-30.147,-50.843,-59.007,4.697,3.777,69.517,
800463910179,800461910179,800.463910179,800.461910179,1768551560.312689,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.817,-59.007,4.697,3.777,69.515,
800474172709,800472172709,800.474172709,800.472172709,1768551560.322927,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.134,-50.83,-59.02,4.697,3.777,69.513,
800484343943,800482343943,800.484343943,800.482343943,1768551560.3331218,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.134,-50.83,-59.02,4.697,3.777,69.511,
800494562721,800492562721,800.494562721,800.492562721,1768551560.3433406,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.147,-50.817,-59.02,4.697,3.777,69.509,
800504940465,800502940465,800.504940465,800.502940465,1768551560.353724,-0.066,0.082,0.995,0.0,0.0,-0.122,-30.134,-50.83,-59.02,4.697,3.777,69.507,
