MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
799918085866,799916085866,799.918085866,799.916085866,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.778,69.616
799928932343,799926932343,799.928932343,799.926932343,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.778,69.614
799939282378,799937282378,799.939282378,799.937282378,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.778,69.612
799949508447,799947508447,799.949508447,799.947508447,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.778,69.61
799959653138,799957653138,799.959653138,799.957653138,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.778,69.608
799969866082,799967866082,799.969866082,799.967866082,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.606
799980065609,799978065609,799.980065609,799.978065609,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.604
799990305679,799988305679,799.990305679,799.988305679,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.602
800006496640,800004496640,800.00649664,800.00449664,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.6
800017150899,800015150899,800.017150899,800.015150899,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.599
800021601087,800019601087,800.021601087,800.019601087,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.597
800033269523,800031269523,800.033269523,800.031269523,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.594
800043516011,800041516011,800.043516011,800.041516011,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.592
800053695995,800051695995,800.053695995,800.051695995,-0.066,0.082,0.995,0.0,0.0,0.0,,4.698,3.777,69.591
800063915647,800061915647,800.063915647,800.061915647,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.588
800074127133,800072127133,800.074127133,800.072127133,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.587
800084370120,800082370120,800.08437012,800.08237012,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.585
800094705863,800092705863,800.094705863,800.092705863,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.583
800104889930,800102889930,800.10488993,800.10288993,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.581
800115139043,800113139043,800.115139043,800.113139043,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.579
800125321069,800123321069,800.125321069,800.123321069,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.578
800135705230,800133705230,800.13570523,800.13370523,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.576
800145939467,800143939467,800.145939467,800.143939467,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.574
800156046822,800154046822,800.156046822,800.154046822,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.698,3.777,69.572
800166521405,800164521405,800.166521405,800.164521405,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.698,3.777,69.57
800176754183,800174754183,800.176754183,800.174754183,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.568
800186912874,800184912874,800.186912874,800.184912874,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.566
800197241908,800195241908,800.197241908,800.195241908,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.564
800207417517,800205417517,800.207417517,800.205417517,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.563
800217737508,800215737508,800.217737508,800.215737508,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.561
800227988662,800225988662,800.227988662,800.225988662,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.559
800238249151,800236249151,800.238249151,800.236249151,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.557
800248249167,800246249167,800.248249167,800.246249167,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.555
800258632162,800256632162,800.258632162,800.256632162,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.553
800268903442,800266903442,800.268903442,800.266903442,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.551
800279021589,800277021589,800.279021589,800.277021589,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.549
800290195333,800288195333,800.290195333,800.288195333,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.547
800299945087,800297945087,800.299945087,800.297945087,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.545
800310197700,800308197700,800.3101977,800.3081977,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.543
800320350265,800318350265,800.320350265,800.318350265,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.541
800330776721,800328776721,800.330776721,800.328776721,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.54
800340904202,800338904202,800.340904202,800.338904202,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.537
800351130563,800349130563,800.351130563,800.349130563,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.536
800361426928,800359426928,800.361426928,800.359426928,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.534
800371818673,800369818673,800.371818673,800.369818673,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.532
800382013242,800380013242,800.382013242,800.380013242,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.53
800392223561,800390223561,800.392223561,800.390223561,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.528
800402435046,800400435046,800.402435046,800.400435046,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.526
800412652949,800410652949,800.412652949,800.410652949,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.524
800423037402,800421037402,800.423037402,800.421037402,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.522
800433288848,800431288848,800.433288848,800.431288848,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.52
800443479624,800441479624,800.443479624,800.441479624,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.519
800453694318,800451694318,800.453694318,800.451694318,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.517
800463910179,800461910179,800.463910179,800.461910179,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.515
800474172709,800472172709,800.474172709,800.472172709,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.513
800484343943,800482343943,800.484343943,800.482343943,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.511
800494562721,800492562721,800.494562721,800.492562721,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.509
800504940465,800502940465,800.504940465,800.502940465,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.507
800516597525,800514597525,800.516597525,800.514597525,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.506
800525805334,800523805334,800.525805334,800.523805334,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.504
800536019528,800534019528,800.536019528,800.534019528,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.502
