from,to,count
OrangePi_STM32_for_ROV,comm_gcs,24
OrangePi_STM32_for_ROV,proto_gcs,8
OrangePi_STM32_for_ROV,arpa,5
OrangePi_STM32_for_ROV,netinet,4
OrangePi_STM32_for_ROV,sys,9
OrangePi_STM32_for_ROV,(root),44
OrangePi_STM32_for_ROV,control_core,41
OrangePi_STM32_for_ROV,controllers,11
OrangePi_STM32_for_ROV,io,35
OrangePi_STM32_for_ROV,platform,10
OrangePi_STM32_for_ROV,Eigen,2
OrangePi_STM32_for_ROV,shared,4
OrangePi_STM32_for_ROV,yaml-cpp,3
OrangePi_STM32_for_ROV,utils,2
Underwater-robot-navigation,nav_core,25
Underwater-robot-navigation,sys,9
Underwater-robot-navigation,(root),11
Underwater-robot-navigation,shared,2
