rel_path,lang,risk_score,code_lines,comment_lines,comment_ratio,branch_tokens,max_func_len,max_nest
CMakeLists.txt,cmake,13,5,0,0.0,1,0,0
OrangePi_STM32_for_ROV\CMakeLists.txt,cmake,152,64,0,0.0,11,0,0
OrangePi_STM32_for_ROV\comm_gcs\CMakeLists.txt,cmake,117,85,0,0.0,4,0,0
OrangePi_STM32_for_ROV\comm_gcs\apps\gcs_client.cpp,cpp,2700,308,9,0.0284,44,112,4
OrangePi_STM32_for_ROV\comm_gcs\apps\gcs_server.cpp,cpp,2553,136,11,0.0748,19,143,3
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\bytes.hpp,cpp,135,19,0,0.0,2,4,1
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\udp_client.hpp,cpp,176,43,11,0.2037,6,3,1
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\udp_endpoint.hpp,cpp,120,34,6,0.15,7,2,0
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\udp_server.hpp,cpp,82,36,0,0.0,2,2,0
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\version.hpp,cpp,190,50,29,0.3671,5,4,1
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\apps\cli_args.hpp,cpp,0,0,0,0.0,0,0,0
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\codec\gcs_codec.hpp,cpp,1415,149,7,0.0449,27,62,3
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\codec\packet_view.hpp,cpp,1069,98,32,0.2462,27,45,2
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\session\gcs_handlers.hpp,cpp,0,0,0,0.0,0,0,0
OrangePi_STM32_for_ROV\comm_gcs\include\comm_gcs\session\gcs_session.hpp,cpp,230,64,16,0.2,17,2,0
OrangePi_STM32_for_ROV\comm_gcs\src\udp_client.cpp,cpp,1071,92,10,0.098,23,45,3
OrangePi_STM32_for_ROV\comm_gcs\src\udp_endpoint.cpp,cpp,981,134,0,0.0,29,33,3
OrangePi_STM32_for_ROV\comm_gcs\src\udp_server.cpp,cpp,822,56,0,0.0,17,34,3
OrangePi_STM32_for_ROV\comm_gcs\src\session\gcs_session.cpp,cpp,3824,265,16,0.0569,88,177,5
OrangePi_STM32_for_ROV\comm_gcs\tests\test_codec.cpp,cpp,826,130,2,0.0152,7,40,1
